Year,Scale to World,,Base Scenario (grams CO2),(Gt/Y C),,Electric Car Only Scenarios,100% adoption of EV by 2100 using Linear Model  (grams CO2),(Gt/Y C),,100% adoption of EV by 2050 using Linear Model (grams CO2),(Gt/Y C),,Electric + Automation Car  Scenarios,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,(Gt/Y C),,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency,(Gt/Y C),,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,(Gt/Y C),,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency,(Gt/Y C),,Electric + Automation + Shared Car Scenarios,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,(Gt/Y C),,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency,(Gt/Y C),,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,(Gt/Y C),,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency,(Gt/Y C)
2011,4.33418663,,1398400000000000.00,1.65,,,1398400000000000.00,1.65,,1398400000000000.00,1.65,,,1398400000000000.00,1.65,,1398400000000000.00,1.65,,1398400000000000.00,1.65,,1398400000000000.00,1.65,,,167807980935936.00,0.20,,167807980935936.00,0.20,,167807980935936.00,0.20,,167807980935936.00,0.20
2012,4.501024072,,1401140000000000.00,1.72,,,1401140000000000.00,1.72,,1401140000000000.00,1.72,,,1401140000000000.00,1.72,,1401140000000000.00,1.72,,1401140000000000.00,1.72,,1401140000000000.00,1.72,,,168136798354560.00,0.21,,168136798354560.00,0.21,,168136798354560.00,0.21,,168136798354560.00,0.21
2013,4.630853236,,1413150000000000.00,1.79,,,1413150000000000.00,1.79,,1413150000000000.00,1.79,,,1413150000000000.00,1.79,,1413150000000000.00,1.79,,1413150000000000.00,1.79,,1413150000000000.00,1.79,,,169578036017136.00,0.21,,169578036017136.00,0.21,,169578036017136.00,0.21,,169578036017136.00,0.21
2014,4.743163209,,1437440000000000.00,1.86,,,1437440000000000.00,1.86,,1437440000000000.00,1.86,,,1437440000000000.00,1.86,,1437440000000000.00,1.86,,1437440000000000.00,1.86,,1437440000000000.00,1.86,,,172492601471568.00,0.22,,172492601471568.00,0.22,,172492601471568.00,0.22,,172492601471568.00,0.22
2015,4.860471646,,1455030000000000.00,1.93,,,1455030000000000.00,1.93,,1455030000000000.00,1.93,,,1455030000000000.00,1.93,,1455030000000000.00,1.93,,1455030000000000.00,1.93,,1455030000000000.00,1.93,,,174603848497056.00,0.23,,174603848497056.00,0.23,,174603848497056.00,0.23,,174603848497056.00,0.23
2016,4.934815253,,1483120000000000.00,2.00,,,1483120000000000.00,2.00,,1483120000000000.00,2.00,,,1483120000000000.00,2.00,,1483120000000000.00,2.00,,1483120000000000.00,2.00,,1483120000000000.00,2.00,,,177974477368128.00,0.24,,177974477368128.00,0.24,,177974477368128.00,0.24,,177974477368128.00,0.24
2017,5.07421012,,1492340000000000.00,2.07,,,1469320000000000.00,2.03,,1452330000000000.00,2.01,,,1492340000000000.00,2.07,,1492340000000000.00,2.07,,1492340000000000.00,2.07,,1492340000000000.00,2.07,,,179080443578352.00,0.25,,179080443578352.00,0.25,,179080443578352.00,0.25,,179080443578352.00,0.25
2018,5.183131238,,1509750000000000.00,2.14,,,1463840000000000.00,2.07,,1429860000000000.00,2.02,,,1509750000000000.00,2.14,,1509750000000000.00,2.14,,1509750000000000.00,2.14,,1509750000000000.00,2.14,,,181170392093863.00,0.26,,181170392093863.00,0.26,,181170392093863.00,0.26,,181170392093863.00,0.26
2019,5.289516552,,1527170000000000.00,2.20,,,1458370000000000.00,2.11,,1407400000000000.00,2.03,,,1527020000000000.00,2.20,,1526840000000000.00,2.20,,1512230000000000.00,2.18,,1494700000000000.00,2.16,,,182261653114283.00,0.26,,181089280837438.00,0.26,,181467841562488.00,0.26,,179363603550926.00,0.26
2020,5.393453596,,1544590000000000.00,2.27,,,1452900000000000.00,2.14,,1384940000000000.00,2.04,,,1544290000000000.00,2.27,,1543930000000000.00,2.27,,1514720000000000.00,2.23,,1479660000000000.00,2.18,,,183353380680111.00,0.27,,181009183810159.00,0.27,,181766128412379.00,0.27,,177558635402046.00,0.26
