Year,Base Scenario (Gt/Y C),Electric Car Only Scenarios 100% adoption of EV by 2100 using Linear Model ,100% adoption of EV by 2050 using Linear Model,Electric + Automation Car  Scenarios Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency,Electric + Automation + Shared Car Scenarios Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2100 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .77 Fuel Efficiency,Number of Automated Vehicles (Linearly Adopted till 100% adopted by 2050 with Electric Vehicles Growing at Base Scenario) with .5 Fuel Efficiency
2011,1.65,1.654077958,1.65,1.65,1.654077958,1.65,1.654077958,0.198489332,0.198489332,0.198489332,0.198489332
2012,1.72,1.721114716,1.72,1.72,1.721114716,1.72,1.721114716,0.206533764,0.206533764,0.206533764,0.206533764
2013,1.79,1.785937395,1.79,1.79,1.785937395,1.79,1.785937395,0.214312533,0.214312533,0.214312533,0.214312533
2014,1.86,1.860693093,1.86,1.86,1.860693093,1.86,1.860693093,0.223282914,0.223282914,0.223282914,0.223282914
2015,1.93,1.930044456,1.93,1.93,1.930044456,1.93,1.930044456,0.231605664,0.231605664,0.231605664,0.231605664
2016,2,1.997395839,2,2.00,1.997395839,2,1.997395839,0.239687605,0.239687605,0.239687605,0.239687605
2017,2.07,2.034706573,2.01,2.07,2.066584548,2.07,2.066584548,0.247989652,0.247989652,0.247989652,0.247989652
2018,2.14,2.070631261,2.02,2.14,2.135571884,2.14,2.135571884,0.256269181,0.256269181,0.256269181,0.256269181
2019,2.2,2.105235347,2.03,2.19,2.178437953,2.18,2.157679651,0.263104476,0.261412094,0.261958566,0.258920986
2020,2.27,2.138551046,2.04,2.25,2.220257267,2.23,2.177939597,0.269881316,0.266430848,0.267545009,0.261351921
2021,2.34,2.170622328,2.04,2.31,2.261080546,2.28,2.196416117,0.276601734,0.271329765,0.273032092,0.263569672
2022,2.41,2.201491184,2.05,2.36,2.300942719,2.32,2.213185976,0.283267671,0.276112967,0.278423231,0.265581576
2023,2.48,2.231197736,2.05,2.42,2.33987716,2.36,2.228293198,0.289880978,0.280784389,0.283721691,0.267394634
2024,2.55,2.259780342,2.05,2.47,2.377899983,2.41,2.241793942,0.296443425,0.28534779,0.288930587,0.269015534
2025,2.62,2.287275688,2.04,2.52,2.41505699,2.45,2.253757966,0.302956702,0.289806764,0.294052898,0.270450668
2026,2.69,2.313718884,2.04,2.58,2.451377402,2.49,2.264221123,0.309422427,0.294164745,0.299091473,0.271706149
2027,2.76,2.339143541,2.03,2.63,2.486872657,2.53,2.273232611,0.315842145,0.298425019,0.304049034,0.272787821
2028,2.82,2.363565083,2.02,2.69,2.521585611,2.57,2.280839551,0.322217337,0.302590731,0.308928191,0.273701282
2029,2.89,2.387047677,2.01,2.74,2.555541959,2.61,2.287104107,0.328549421,0.306664893,0.313731439,0.274451888
2030,2.96,2.409604367,2,2.79,2.5887491,2.65,2.292035789,0.334839754,0.310650389,0.318461171,0.275044773
2031,3.03,2.431263523,1.99,2.84,2.621247446,2.69,2.295710352,0.341089638,0.314549986,0.323119678,0.275484856
2032,3.1,2.45205237,1.97,2.89,2.653059683,2.73,2.298132946,0.347300321,0.318366334,0.327709161,0.275776855
2033,3.17,2.47199704,1.96,2.95,2.684189697,2.77,2.299376946,0.353473,0.322101977,0.332231726,0.275925294
2034,3.24,2.491122633,1.94,3.00,2.714657771,2.81,2.299461615,0.359608825,0.325759355,0.336689398,0.275934516
